## Final Key Output (Top 3 Variance Drivers by Month)

"month","account_name","variance"
"2024-01-01",Product Sales,-5000
"2024-01-01",Cost of Goods Sold,2000
"2024-01-01",Service Revenue,2000
"2024-02-01",Marketing,-4000
"2024-02-01",Product Sales,-3000
"2024-02-01",Service Revenue,-3000
"2024-03-01",Product Sales,-22000
"2024-03-01",Marketing,4000
"2024-03-01",Cost of Goods Sold,3000
"2024-04-01",Marketing,-6000
"2024-04-01",Cost of Goods Sold,-1000
"2024-04-01",Product Sales,0
"2024-05-01",Product Sales,-12000
"2024-05-01",Cost of Goods Sold,4000
"2024-05-01",Marketing,1000
"2024-06-01",Marketing,-5000
"2024-06-01",Product Sales,-5000
"2024-06-01",Service Revenue,1000
